State: PRELAUNCH, Time: 1800.28s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.89m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.30s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.86m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.32s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.85m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.34s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.85m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.36s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.83m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.37s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.80m, P: 1004.08hPa
State: PRELAUNCH, Time: 1800.39s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.80m, P: 1004.08hPa
State: PRELAUNCH, Time: 1800.41s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.82m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.43s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.85m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.45s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.85m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.47s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.48s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.51s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.52s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.86m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.54s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.56s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.58s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.82m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.59s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.85m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.62s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.85m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.63s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.65s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.82m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.67s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.82m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.69s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1800.70s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.89m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.72s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.89m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.74s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1800.76s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.86m, P: 1004.07hPa
